contest_type	contest_district_type	Selection	Contest	ReportingUnit	CountItemType	Count
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Routt County	total	5698
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Saguache County	total	1175
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;San Juan County	total	202
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;San Miguel County	total	1351
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Sedgwick County	total	683
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Summit County	total	5337
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Teller County	total	6044
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Washington County	total	1471
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Weld County	total	62887
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Yuma County	total	2324
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Adams County	total	81460
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Alamosa County	total	2385
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Arapahoe County	total	135629
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Archuleta County	total	2898
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Baca County	total	532
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Bent County	total	629
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Boulder County	total	108535
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Broomfield County	total	18849
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Chaffee County	total	5106
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Cheyenne County	total	315
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Clear Creek County	total	2563
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Conejos County	total	1229
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Costilla County	total	581
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Crowley County	total	477
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Custer County	total	1078
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Delta County	total	6065
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Denver County	total	181962
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Dolores County	total	353
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Douglas County	total	90482
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Eagle County	total	11488
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;El Paso County	total	136544
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Elbert County	total	6254
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Fremont County	total	8052
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Garfield County	total	10951
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Gilpin County	total	1687
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Grand County	total	3508
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Gunnison County	total	4442
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Hinsdale County	total	234
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Huerfano County	total	1622
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Jackson County	total	262
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Jefferson County	total	150883
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Kiowa County	total	282
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Kit Carson County	total	1280
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;La Plata County	total	14394
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Lake County	total	1321
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Larimer County	total	90980
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Las Animas County	total	2393
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Lincoln County	total	797
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Logan County	total	3100
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Mesa County	total	27260
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Mineral County	total	261
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Moffat County	total	1625
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Montezuma County	total	4644
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Montrose County	total	7679
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Morgan County	total	3987
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Otero County	total	2796
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Ouray County	total	1752
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Park County	total	4200
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Phillips County	total	699
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Pitkin County	total	5346
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Prowers County	total	1330
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Pueblo County	total	28167
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Rio Blanco County	total	997
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Rio Grande County	total	1952
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Routt County	total	6106
