contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Fremont County	total	10356
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Garfield County	total	11149
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Gilpin County	total	1447
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Grand County	total	3571
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Gunnison County	total	3603
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Hinsdale County	total	270
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Huerfano County	total	1746
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Jackson County	total	466
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Jefferson County	total	136146
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Kiowa County	total	435
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Kit Carson County	total	1591
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;La Plata County	total	11326
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Lake County	total	1330
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Larimer County	total	76962
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Las Animas County	total	3464
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Lincoln County	total	1174
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Logan County	total	4960
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Mesa County	total	35905
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Mineral County	total	276
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Moffat County	total	3414
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Montezuma County	total	6218
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Montrose County	total	9910
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Morgan County	total	5991
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Otero County	total	4297
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Ouray County	total	1251
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Park County	total	4683
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Phillips County	total	1168
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Pitkin County	total	3241
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Prowers County	total	2570
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Pueblo County	total	35279
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Rio Blanco County	total	1751
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Rio Grande County	total	2609
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Routt County	total	5698
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Saguache County	total	1175
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;San Juan County	total	202
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;San Miguel County	total	1351
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Sedgwick County	total	683
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Summit County	total	5337
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Teller County	total	6044
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Washington County	total	1471
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Weld County	total	62887
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Yuma County	total	2324
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Adams County	total	81460
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Alamosa County	total	2385
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Arapahoe County	total	135629
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Archuleta County	total	2898
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Baca County	total	532
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Bent County	total	629
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Boulder County	total	108535
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Broomfield County	total	18849
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Chaffee County	total	5106
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Cheyenne County	total	315
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Clear Creek County	total	2563
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Conejos County	total	1229
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Costilla County	total	581
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Crowley County	total	477
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Custer County	total	1078
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Delta County	total	6065
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Denver County	total	181962
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Dolores County	total	353
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Douglas County	total	90482
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Eagle County	total	11488
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;El Paso County	total	136544
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Elbert County	total	6254
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Fremont County	total	8052
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Garfield County	total	10951
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Gilpin County	total	1687
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Grand County	total	3508
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Gunnison County	total	4442
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Hinsdale County	total	234
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Huerfano County	total	1622
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Jackson County	total	262
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Jefferson County	total	150883
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Kiowa County	total	282
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Kit Carson County	total	1280
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;La Plata County	total	14394
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Lake County	total	1321
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Larimer County	total	90980
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Las Animas County	total	2393
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Lincoln County	total	797
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Logan County	total	3100
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Mesa County	total	27260
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Mineral County	total	261
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Moffat County	total	1625
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Montezuma County	total	4644
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Montrose County	total	7679
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Morgan County	total	3987
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Otero County	total	2796
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Ouray County	total	1752
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Park County	total	4200
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Phillips County	total	699
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Pitkin County	total	5346
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Prowers County	total	1330
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Pueblo County	total	28167
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Rio Blanco County	total	997
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Rio Grande County	total	1952
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Routt County	total	6106
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Saguache County	total	1207
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;San Juan County	total	201
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;San Miguel County	total	2278
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Sedgwick County	total	431
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Summit County	total	7389
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Teller County	total	5991
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Washington County	total	813
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Weld County	total	52507
BallotMeasure	Ballot Format for Judicial Races	state	Yes	Colorado;Yuma County	total	1493
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Adams County	total	93361
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Alamosa County	total	3928
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Arapahoe County	total	148103
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Archuleta County	total	4100
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Baca County	total	1260
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Bent County	total	1194
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Boulder County	total	117575
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Broomfield County	total	20706
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Chaffee County	total	7273
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Cheyenne County	total	597
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Clear Creek County	total	3079
